sum;concepto;mes
3752844;Bonificaciones y gratificaciones por Gestion Administrativa;junio
25953538;Bonificaciones y gratificaciones por Gestion Presupuestaria;junio
11200000;Bonificaciones y gratificaciones por Labores Insalubres;junio
297150130;Bonificaciones y gratificaciones Por Responsabilidad;junio
1140249;Equiparación Jefes de Departamento;junio
8976012;Equiparación Técnicos;junio
10412352469;Escalafon docente;junio
10412434066;Escalafon docente;julio
10413442117;Escalafon docente;agosto
14334050910;Escalafón docente - Ajuste de antiguedad;julio
14290430082;Escalafón docente - Ajuste de antiguedad;agosto
14404159854;Escalafón docente - Ajuste de antiguedad;junio
2375925300;Gasto de representacion;junio
1754167000;Gasto de representacion;agosto
2175339800;Gasto de representacion;julio
25453344;Gratificaciones por servicios especiales;junio
6276240000;Subsidio familiar;julio
6353730000;Subsidio familiar;junio
6232880000;Subsidio familiar;agosto
230993827570;Sueldos;agosto
230975484920;Sueldos;julio
230909018305;Sueldos;junio
